name,title,company,industry,location,bio,linkedin,major,grad
Arnold Chen,Managing Director at Burton D. Morgan Center for Entrepreneurship,Purdue University,Academic,"West Lafayette, IN",Director of Burton D. Morgan: Purdue's faculty entrepreneurship program,https://www.linkedin.com/in/arnold-chen-029268/,EE,1991
Nabeel Hyatt,Investor at Spark Capital,Spark Capital,VC,Bay Area,"I've worked at scrappy small scale, in hyper-growth mode, and at large public company scale several times over the last couple decades as a CEO, COO, and head of product. I now spend time with my fine friends here at Spark Capital partnering with ambitious founders out to build amazing things.",https://www.linkedin.com/in/nabeelhyatt,-,-
Mamoon Hamid,Partner at Kleiner Perkins,Kleiner Perkins,VC,Bay Area,"Mamoon is a Partner at Kleiner Perkins. Prior to joining Kleiner Perkins, Mamoon was a Co-Founder and General Partner at Social Capital. Social Capital is an early stage Venture Capital firm that funds breakthrough healthcare, education, financial services, mobile, and enterprise software companies.",https://www.linkedin.com/in/mamoonha/,ECE,1997
Adam Weinstein,Senior Director at DataRobot,DataRobot,Entrepreneur,Bay Area,"Prior to Bright/LinkedIn, I was the founder of enGreet, a print-on-demand greeting card company that merged crowd-sourcing with social expressions. Earlier, I worked at ExactTarget and Deloitte Consulting, where I helped high-tech and financial services clients optimize business and technology processes.",https://www.linkedin.com/in/ajweinstein/,"BS, IE, CS",2005
Michael Stoppleman,Investor at Spark Capital,Self employed,VC,LA,"I invest in talented early stage entrepreneurs that are trying to change the world for the better. Iâ€™mfocused on digital health, infrastructure, and security.",https://www.linkedin.com/in/michaelstoppelman/ ,CS,2003
Rouz Jazayeri,Director at Catapult Ventures,Catapult Ventures,VC,Bay Area,"Experienced business and technical executive with a strong background of venture capital investing, building new businesses, creating winning products, and establishing influential strategic partnerships.",https://www.linkedin.com/in/rouz-jazayeri-01485346/,"BSEE, MSEE",2004
Darwin Ling,Partner at Good AI Capital,Good AI Capital,VC,Bay Area,"Darwin Ling is the founding general partner of Good AI Capital, a venture fund focusing on early-stage AI companies in fintech, healthcare, and enterprise SaaS",https://www.linkedin.com/in/darwinling/,"BS, MS",1990
Eric Zimitz,Strategic Advisor,"Netzyn, Inc. ",VC,Bay Area,-,https://www.linkedin.com/in/ericzimits/,Biomedical Engineering,1983
Sven Strohband,CTO Khosla Ventures,Khosla Ventures,VC,Bay Area,Partner at Khosla Ventures,https://www.linkedin.com/in/sven-strohband-348b841/,n/a,-
John Hamm,Leadership Coach,Self employed,Advisor,Bay Area,Executive Coach,https://www.linkedin.com/in/jdhamm/,Engineering MGMT,1983
Curtis McKee,Venture Investor @ Intel Capital,Intel,VC,Bay Area,"Curtis McKee is a Venture Investor and Corporate Development Executive at Intel Capital with over 17 years of combined operating and venture capital experience. Curtis has led investments and strategic transactions for Intel's Datacenter, IOT and New Technology business segments. He is passionate about investing in AI, Fintech, and IOT, and discovering new technologies disrupting traditional markets. Prior to Intel Capital, Curtis led Operations as Chief of Staff & Technical Assistant for the Datacenter Group's Enterprise Software Division, and joined Intel via the Fulcrum Microsystems acquisition where he drove BD for cloud service providers and tier 1 networking accounts at AWS, Microsoft, Cisco, Oracle/SUN and Arista. His prior experience involves engineering roles at notable public companies like Broadcom, Marvell and LSI Logic. Curtis holds a BSEE from Purdue University and an MBA from the Wharton School of the University of Pennsylvania where he majored in Finance.",https://www.linkedin.com/in/curtismckee/,BSEE,2001
Alvin Ang,Vice President at Turn/River Capital,Turn/River Capital,VC,Bay Area,"I'm a VP at Turn/River Capital, a tech private equity firm in San Francisco. We look for Software-as-a-Service businesses with $3-30M in annual revenue to help founders exit & move on to their next exciting idea OR provide founders with growth capital to grow their business to the next level OR a solution where founders are able to take some chips off the table & double down on the business.",https://www.linkedin.com/in/angalvin/,Chemical Engineering,2011
Jim Anderson,Venture Philanthropic Investing,Multiple Orgs,VC,Bay Area,"Jim Anderson is currently a mentor and a senior advisor to several philanthropic organizations. He has a special interest in supporting the epilepsy research at Stanford University, is an active participate in environmental initiatives around preservation of the Delta and supports several innovative entrepreneurial ventures.",https://www.linkedin.com/in/jimanderson5/,MSEE,1972
Mary Jane Elmore,Angel Investor at Broadway Angels,Broadway Angels,VC,Bay Area,Investor at Broadway Angels,https://www.linkedin.com/in/mary-jane-elmore-a7525817/,Math,-
David Overhauser,"Entrepreneur, Investor, and Author",(multiple),Entrepreneur,Bay Area,"I began working with startups in 1980 and have been involved in over 20 startups in a variety of roles over 35 years, including Founder, Vice President, Board Member, investor, consultant and business advisor. I founded Simplex Solutions and saw the company through profitability, IPO and acquisition. I also worked at IBM, AT&T, Texas Instruments and Cadence Design Systems. I was also an Assistant Professor in Electrical Engineering at Duke University, where I founded the Design Automation Technology Center. I have published 3 books and over 40 technical papers, and have been granted 13 patents. I hold degrees in Mathematics, Computer Science and Electrical Engineering.",https://www.linkedin.com/in/david-overhauser-2a8b83/,"CS, Math",1983
Matt Garratt,"Managing Partner, Salesforce Ventures",Salesforce,VC,Bay Area,"Managing Partner at Salesforce Ventures and led investments in leading software companies including, Mulesoft, Twilio, Docusign, Anaplan, nCino and Gainsight.",https://www.linkedin.com/in/matthewgarratt/,Materials Science,-
Guru Chahal,Partner at Lightspeed Venture Partners,Lightspeed Ventures,VC,Bay Area,"Early Stage Investor at Lightspeed Venture Partners, Product Management and Marketing Executive, Entrepreneur",https://www.linkedin.com/in/guruchahal/,"MS, EE",-
Lila Ibrahim,Chief Operating Officer at DeepMind,DeepMind,AI,UK,"Throughout my 20+ years as a leader, builder, and operator in the global technology space, Iâ€™ve been driven first and foremost by organizational mission and impact. I am deeply committed to servant leadership and authenticity, and believe my role as a leader is to help everyone in the organization develop their unique talents and realize their full potential to contribute.",http://www.linkedin.com/in/librahim,BSEE,1993
Anand Iyer,CEO at Trusted,Trusted Child Care,Entrepreneur,Bay Area,Building companies is my passion. I love solving intractable problems. Systems thinker.,https://www.linkedin.com/in/anandiyer/,CompE,2001
Rami Elkhatib,General Partner at Acero Capital,Acero Capital,VC,Bay Area,"Rami is general partner at Acero Capital, a venture capital firm focused on investments in business software (mobile, cloud, analytics and infrastructure).",https://www.linkedin.com/in/ramielkhatib/,ECE,1992
Mike Hoefflinger,Author and Speaker,Self employed,Advisor,Bay Area,Served as Facebook's first Head of Global Business Marketing,https://www.linkedin.com/in/mikehoefflinger/,"BS, MS EECS",1990
Rich Redalfs,Chairman of the Board at ACCO,Multiple Orgs,Advisor,Bay Area,Serves as board on multiple companies,http://www.linkedin.com/pub/rich-redelfs/6/9bb/a23,"BS, IE",1980
Rusty Rueff,Presidential Appointee to the Advisory Committee for the Arts at The John F. Kennedy Center for the Performing Arts,Multiple Orgs,Advisor,Bay Area,"Rusty serves on a number of corporate and philanthropic Boards and invests in and advises start-ups. He is an appointee of President Obama to the President's Advisory Committee for the Arts for The Kennedy Center. Rusty was the Coordinating National Co-Chair for Technology for Obama. He was the CEO of SNOCAP through the sale of the company to imeem, Inc.in 2008.",http://www.linkedin.com/in/rustyrueff,"BA Radio and Television, MS Counseling",1984
